,Station Id,Station Name,lat,lon,geometry
85,7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,POINT (-79.32296100000001 43.683378)
86,7089,Church St  / Wood St,43.662712,-79.379903,POINT (-79.379903 43.662712)
87,7090,Danforth Ave / Lamb Ave,43.681991,-79.329455,POINT (-79.329455 43.681991)
88,7091,Donlands Station,43.681114,-79.3373885,POINT (-79.3373885 43.681114)
89,7092,Pape Subway Green P,43.680223,-79.344062,POINT (-79.34406199999999 43.680223)
90,7093,Danforth Ave / Gough Ave,43.678401,-79.346289,POINT (-79.346289 43.678401)
91,7094,Chester Station (Green P),43.6784556,-79.351014,POINT (-79.35101400000001 43.6784556)
92,7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,POINT (-79.35666999999999 43.677076)
93,7096,Boston Ave / Queen St E,43.661508,-79.338931,POINT (-79.338931 43.661508)
94,7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704,POINT (-79.354704 43.671172)
95,7098,Riverdale Park South (Broadview Ave),43.667819,-79.35347,POINT (-79.35347 43.667819)
96,7099,Cherry St / Mill St,43.651248,-79.357848,POINT (-79.357848 43.651248)
97,7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275,POINT (-79.36127500000001 43.660207)
98,7101,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,POINT (-79.36706100000001 43.648655)
99,7102,Nelson St / Duncan St,43.648711,-79.389728,POINT (-79.38972800000001 43.648711)
100,7103,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,POINT (-79.3437663 43.6605603)
101,7104,King St E / River St,43.657071,-79.356598,POINT (-79.35659800000001 43.657071)
102,7105,Queen St E / Sackville St,43.6561111,-79.36138888888888,POINT (-79.36138888888888 43.6561111)
103,7106,Mill St / Tannery Rd,43.652219,-79.354455,POINT (-79.354455 43.652219)
104,7107,Cherry St / Distillery Ln,43.650279,-79.356832,POINT (-79.356832 43.650279)
105,7108,Front St E / Cherry St,43.652686,-79.358395,POINT (-79.358395 43.652686)
106,7109,Seaton St / Dundas St E - SMART,43.658777,-79.369596,POINT (-79.369596 43.658777)
107,7110,Queen St E / Berkeley St,43.6552778,-79.36583333333333,POINT (-79.36583333333333 43.6552778)
108,7111,King St W / Douro St,43.640885,-79.416379,POINT (-79.41637900000001 43.640885)
109,7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,POINT (-79.42414599999999 43.637981)
110,7113,Parliament St / Aberdeen Ave,43.665278,-79.368333,POINT (-79.36833300000001 43.665278)
111,7114,Carlton St / Parliament St,43.664524,-79.36793,POINT (-79.36793 43.664524)
112,7115,Howard St / Sherbourne St,43.6712581,-79.376367,POINT (-79.376367 43.6712581)
113,7116,Parliament St / Bloor St E,43.671827,-79.371849,POINT (-79.371849 43.671827)
114,7117,Castle Frank Station,43.674083,-79.368579,POINT (-79.368579 43.674083)
115,7118,King St W / Bay St (East Side),43.648575,-79.380042,POINT (-79.380042 43.648575)
116,7119,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506,POINT (-79.362506 43.665867)
117,7120,Gerrard St E / River St,43.663993,-79.358534,POINT (-79.35853400000001 43.663993)
118,7121,Jarvis St / Dundas St E,43.657266,-79.374756,POINT (-79.374756 43.657266)
119,7122,Niagara St / Tecumseth St,43.641389,-79.404444,POINT (-79.404444 43.641389)
120,7123,424 Wellington St W - SMART,43.643834,-79.396649,POINT (-79.396649 43.643834)
121,7124,Dundas St E / Broadview Ave,43.662365,-79.351104,POINT (-79.35110400000001 43.662365)
122,7126,Yonge St / Yorkville Ave,43.671944,-79.387778,POINT (-79.387778 43.671944)
123,7127,Bay St / Scollard St,43.672152,-79.39018,POINT (-79.39018 43.672152)
124,7128,Yonge St / Aylmer Ave,43.675492,-79.388858,POINT (-79.388858 43.675492)
125,7129,Davenport Rd / Avenue Rd,43.674991,-79.396273,POINT (-79.39627299999999 43.674991)
126,7130,Davenport Rd / Bedford Rd,43.6743985,-79.3986601,POINT (-79.3986601 43.6743985)
127,7131,Taddle Creek Park,43.66986,-79.398443,POINT (-79.398443 43.66986)
128,7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,POINT (-79.405181 43.670318)
129,7133,Summerhill Station,43.681944,-79.390556,POINT (-79.390556 43.681944)
130,7134,Marlborough Ave / Yonge St,43.68,-79.391111,POINT (-79.391111 43.68)
131,7135,Hanna Ave / Liberty St,43.638333,-79.419722,POINT (-79.41972199999999 43.638333)
132,7136,Queen St W / Close Ave,43.640634,-79.435841,POINT (-79.435841 43.640634)
133,7137,Davenport Rd / Bathurst St - SMART,43.676667,-79.416111,POINT (-79.416111 43.676667)
134,7138,Davenport Rd / Christie St - SMART,43.675278,-79.423889,POINT (-79.423889 43.675278)
135,7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,POINT (-79.405556 43.677778)
136,7140,Macpherson Ave / Spadina Rd - SMART,43.675791,-79.40698,POINT (-79.40698 43.675791)
137,7141,Bridgeman Ave / Kendal Ave - SMART,43.675556,-79.410278,POINT (-79.41027800000001 43.675556)
138,7142,Bridgeman Ave / Bathurst St - SMART,43.674444,-79.414722,POINT (-79.414722 43.674444)
139,7143,Kendal Ave / Bernard Ave,43.671513,-79.408317,POINT (-79.408317 43.671513)
140,7144,Palmerston Ave / Vermont Ave - SMART,43.671389,-79.416389,POINT (-79.416389 43.671389)
141,7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,POINT (-79.42500000000001 43.68)
142,7147,King St W / Fraser Ave,43.6394444,-79.42527777777778,POINT (-79.42527777777778 43.6394444)
143,7148,King St W / Joe Shuster Way,43.639444,-79.423611,POINT (-79.42361099999999 43.639444)
144,7149,Yarmouth Rd / Christie St - SMART,43.67,-79.42083333333333,POINT (-79.42083333333333 43.67)
145,7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,POINT (-79.43361111111112 43.6555556)
146,7151,Essex St / Christie St - SMART,43.6686111,-79.42027777777778,POINT (-79.42027777777778 43.6686111)
147,7152,Ossington Ave / Bloor St W - SMART,43.661705,-79.425734,POINT (-79.42573400000001 43.661705)
148,7153,Bloor St W / Christie St - SMART,43.6638889,-79.41888888888889,POINT (-79.41888888888889 43.6638889)
149,7154,Bathurst Subway Station - SMART,43.6666667,-79.41166666666668,POINT (-79.41166666666668 43.6666667)
150,7155,Bathurst St / Lennox St - SMART,43.663808,-79.410491,POINT (-79.41049099999999 43.663808)
151,7156,Salem Ave / Bloor St W - SMART,43.6608333,-79.43166666666667,POINT (-79.43166666666667 43.6608333)
152,7157,Dufferin St / Bloor St- SMART,43.66083333333333,-79.43583333333333,POINT (-79.43583333333333 43.66083333333333)
153,7158,King St W / Stafford St,43.6422222,-79.41111111111111,POINT (-79.41111111111111 43.6422222)
154,7160,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,POINT (-79.40555555555557 43.64333333333333)
155,7161,Beverley St / College St,43.6575,-79.39527777777778,POINT (-79.39527777777778 43.6575)
156,7162,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556,POINT (-79.3855555555556 43.6591666666667)
157,7163,Yonge St / Wood St,43.6622222,-79.3825,POINT (-79.38249999999999 43.6622222)
158,7164,Gould St / Yonge St (Ryerson University),43.657424,-79.381019,POINT (-79.38101899999999 43.657424)
