EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,MjCmdtyFr_PrdtPrncplFr,CtgryEn_CtgrieAn,CtgryFr_CtgrieFr,NumHd_NmbTetes
1999-01-30,Cattle,Bovins,Bulls,Taureaux,2270
1999-01-30,Cattle,Bovins,Cows,Vaches,48819
1999-01-30,Cattle,Bovins,Heifers,Genisses,98100
1999-01-30,Cattle,Bovins,Steers,Bouvillons,106455
1999-01-30,Hogs,Porcs,Hogs,Porcs,1471653
1999-01-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,18928
1999-02-27,Calves,Veaux,Female,Femelle,3981
1999-02-27,Calves,Veaux,Male,Male,21047
1999-02-27,Cattle,Bovins,Bulls,Taureaux,2243
1999-02-27,Cattle,Bovins,Cows,Vaches,42020
1999-02-27,Cattle,Bovins,Heifers,Genisses,100101
1999-02-27,Cattle,Bovins,Steers,Bouvillons,101411
1999-02-27,Hogs,Porcs,Hogs,Porcs,1465003
1999-02-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,18248
1999-04-03,Calves,Veaux,Female,Femelle,4902
1999-04-03,Calves,Veaux,Male,Male,26247
1999-04-03,Cattle,Bovins,Bulls,Taureaux,3227
1999-04-03,Cattle,Bovins,Cows,Vaches,48956
1999-04-03,Cattle,Bovins,Heifers,Genisses,118334
1999-04-03,Cattle,Bovins,Steers,Bouvillons,136338
1999-04-03,Hogs,Porcs,Hogs,Porcs,1807031
1999-04-03,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,48343
1999-05-01,Calves,Veaux,Female,Femelle,4051
1999-05-01,Calves,Veaux,Male,Male,21397
1999-05-01,Cattle,Bovins,Bulls,Taureaux,3310
1999-05-01,Cattle,Bovins,Cows,Vaches,39469
1999-05-01,Cattle,Bovins,Heifers,Genisses,80828
1999-05-01,Cattle,Bovins,Steers,Bouvillons,151690
1999-05-01,Hogs,Porcs,Hogs,Porcs,1388353
1999-05-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,27516
1999-05-29,Calves,Veaux,Female,Femelle,4916
1999-05-29,Calves,Veaux,Male,Male,20778
1999-05-29,Cattle,Bovins,Bulls,Taureaux,3664
1999-05-29,Cattle,Bovins,Cows,Vaches,39402
1999-05-29,Cattle,Bovins,Heifers,Genisses,83843
1999-05-29,Cattle,Bovins,Steers,Bouvillons,168623
1999-05-29,Hogs,Porcs,Hogs,Porcs,1358252
1999-05-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,23891
1999-07-03,Calves,Veaux,Female,Femelle,4753
1999-07-03,Calves,Veaux,Male,Male,25687
1999-07-03,Cattle,Bovins,Bulls,Taureaux,4050
1999-07-03,Cattle,Bovins,Cows,Vaches,46253
1999-07-03,Cattle,Bovins,Heifers,Genisses,101922
1999-07-03,Cattle,Bovins,Steers,Bouvillons,202460
1999-07-03,Hogs,Porcs,Hogs,Porcs,1682454
1999-07-03,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,28270
1999-07-31,Calves,Veaux,Female,Femelle,4852
1999-07-31,Calves,Veaux,Male,Male,20896
1999-07-31,Cattle,Bovins,Bulls,Taureaux,3489
1999-07-31,Cattle,Bovins,Cows,Vaches,37555
1999-07-31,Cattle,Bovins,Heifers,Genisses,88782
1999-07-31,Cattle,Bovins,Steers,Bouvillons,163747
1999-07-31,Hogs,Porcs,Hogs,Porcs,1431302
1999-07-31,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,28176
1999-08-28,Calves,Veaux,Female,Femelle,3519
