EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,MjCmdtyFr_PrdtPrncplFr,CtgryEn_CtgrieAn,CtgryFr_CtgrieFr,NumHd_NmbTetes
2002-06-29,Cattle,Bovins,Bulls,Taureaux,2238
2002-06-29,Cattle,Bovins,Cows,Vaches,53042
2002-06-29,Cattle,Bovins,Heifers,Genisses,99505
2002-06-29,Cattle,Bovins,Steers,Bouvillons,227842
2002-06-29,Hogs,Porcs,Hogs,Porcs,2034118
2002-06-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,38751
2002-07-27,Calves,Veaux,Female,Femelle,1533
2002-07-27,Calves,Veaux,Male,Male,18842
2002-07-27,Cattle,Bovins,Bulls,Taureaux,1878
2002-07-27,Cattle,Bovins,Cows,Vaches,38815
2002-07-27,Cattle,Bovins,Heifers,Genisses,79279
2002-07-27,Cattle,Bovins,Steers,Bouvillons,163959
2002-07-27,Hogs,Porcs,Hogs,Porcs,1628248
2002-07-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,38449
2002-08-24,Calves,Veaux,Female,Femelle,1742
2002-08-24,Calves,Veaux,Male,Male,20559
2002-08-24,Cattle,Bovins,Bulls,Taureaux,1838
2002-08-24,Cattle,Bovins,Cows,Vaches,38477
2002-08-24,Cattle,Bovins,Heifers,Genisses,79608
2002-08-24,Cattle,Bovins,Steers,Bouvillons,161460
2002-08-24,Hogs,Porcs,Hogs,Porcs,1692316
2002-08-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,38421
2002-09-28,Calves,Veaux,Female,Femelle,1899
2002-09-28,Calves,Veaux,Male,Male,25226
2002-09-28,Cattle,Bovins,Bulls,Taureaux,1989
2002-09-28,Cattle,Bovins,Cows,Vaches,47478
2002-09-28,Cattle,Bovins,Heifers,Genisses,103156
2002-09-28,Cattle,Bovins,Steers,Bouvillons,177717
2002-09-28,Hogs,Porcs,Hogs,Porcs,2179050
2002-09-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,39273
2002-10-26,Calves,Veaux,Female,Femelle,1915
2002-10-26,Calves,Veaux,Male,Male,22082
2002-10-26,Cattle,Bovins,Bulls,Taureaux,1977
2002-10-26,Cattle,Bovins,Cows,Vaches,37464
2002-10-26,Cattle,Bovins,Heifers,Genisses,95384
2002-10-26,Cattle,Bovins,Steers,Bouvillons,132934
2002-10-26,Hogs,Porcs,Hogs,Porcs,1826734
2002-10-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,41957
2002-11-23,Calves,Veaux,Female,Femelle,1827
2002-11-23,Calves,Veaux,Male,Male,23169
2002-11-23,Cattle,Bovins,Bulls,Taureaux,1917
2002-11-23,Cattle,Bovins,Cows,Vaches,40325
2002-11-23,Cattle,Bovins,Heifers,Genisses,103777
2002-11-23,Cattle,Bovins,Steers,Bouvillons,119599
2002-11-23,Hogs,Porcs,Hogs,Porcs,1891450
2002-11-23,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,36433
2002-12-28,Calves,Veaux,Female,Femelle,2348
2002-12-28,Calves,Veaux,Male,Male,25538
2002-12-28,Cattle,Bovins,Bulls,Taureaux,1563
2002-12-28,Cattle,Bovins,Cows,Vaches,46337
2002-12-28,Cattle,Bovins,Heifers,Genisses,116005
2002-12-28,Cattle,Bovins,Steers,Bouvillons,129417
2002-12-28,Hogs,Porcs,Hogs,Porcs,2156566
2002-12-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,50572
2003-01-25,Calves,Veaux,Female,Femelle,1672
2003-01-25,Calves,Veaux,Male,Male,21170
2003-01-25,Cattle,Bovins,Bulls,Taureaux,1418
2003-01-25,Cattle,Bovins,Cows,Vaches,41671
2003-01-25,Cattle,Bovins,Heifers,Genisses,96841
2003-01-25,Cattle,Bovins,Steers,Bouvillons,102630
2003-01-25,Hogs,Porcs,Hogs,Porcs,1733942
2003-01-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,30166
2003-02-22,Calves,Veaux,Female,Femelle,1772
2003-02-22,Calves,Veaux,Male,Male,21657
2003-02-22,Cattle,Bovins,Bulls,Taureaux,1424
2003-02-22,Cattle,Bovins,Cows,Vaches,42046
2003-02-22,Cattle,Bovins,Heifers,Genisses,106000
2003-02-22,Cattle,Bovins,Steers,Bouvillons,97582
2003-02-22,Hogs,Porcs,Hogs,Porcs,1814424
2003-02-22,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,34297
2003-03-29,Calves,Veaux,Female,Femelle,2354
2003-03-29,Calves,Veaux,Male,Male,25804
2003-03-29,Cattle,Bovins,Bulls,Taureaux,1926
2003-03-29,Cattle,Bovins,Cows,Vaches,51521
2003-03-29,Cattle,Bovins,Heifers,Genisses,137542
2003-03-29,Cattle,Bovins,Steers,Bouvillons,127215
2003-03-29,Hogs,Porcs,Hogs,Porcs,2236598
2003-03-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,33892
2003-04-26,Calves,Veaux,Female,Femelle,1780
2003-04-26,Calves,Veaux,Male,Male,21359
2003-04-26,Cattle,Bovins,Bulls,Taureaux,2254
2003-04-26,Cattle,Bovins,Cows,Vaches,37447
2003-04-26,Cattle,Bovins,Heifers,Genisses,78273
2003-04-26,Cattle,Bovins,Steers,Bouvillons,141221
2003-04-26,Hogs,Porcs,Hogs,Porcs,1704520
2003-04-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,63570
2003-05-24,Calves,Veaux,Female,Femelle,2018
2003-05-24,Calves,Veaux,Male,Male,20618
2003-05-24,Cattle,Bovins,Bulls,Taureaux,2511
2003-05-24,Cattle,Bovins,Cows,Vaches,30354
2003-05-24,Cattle,Bovins,Heifers,Genisses,67762
2003-05-24,Cattle,Bovins,Steers,Bouvillons,147207
2003-05-24,Hogs,Porcs,Hogs,Porcs,1672708
2003-05-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,36111
2003-06-28,Calves,Veaux,Female,Femelle,2335
2003-06-28,Calves,Veaux,Male,Male,23439
2003-06-28,Cattle,Bovins,Bulls,Taureaux,1677
2003-06-28,Cattle,Bovins,Cows,Vaches,14025
2003-06-28,Cattle,Bovins,Heifers,Genisses,47742
2003-06-28,Cattle,Bovins,Steers,Bouvillons,132130
2003-06-28,Hogs,Porcs,Hogs,Porcs,2095512
2003-06-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,42907
2003-07-26,Calves,Veaux,Female,Femelle,2818
2003-07-26,Calves,Veaux,Male,Male,26898
2003-07-26,Cattle,Bovins,Bulls,Taureaux,1932
2003-07-26,Cattle,Bovins,Cows,Vaches,13764
2003-07-26,Cattle,Bovins,Heifers,Genisses,61714
2003-07-26,Cattle,Bovins,Steers,Bouvillons,155973
2003-07-26,Hogs,Porcs,Hogs,Porcs,1617946
2003-07-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,40997
2003-08-23,Calves,Veaux,Female,Femelle,2660
2003-08-23,Calves,Veaux,Male,Male,25719
2003-08-23,Cattle,Bovins,Bulls,Taureaux,2516
2003-08-23,Cattle,Bovins,Cows,Vaches,20093
2003-08-23,Cattle,Bovins,Heifers,Genisses,67153
2003-08-23,Cattle,Bovins,Steers,Bouvillons,173007
2003-08-23,Hogs,Porcs,Hogs,Porcs,1637382
2003-08-23,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,40722
2003-09-27,Calves,Veaux,Female,Femelle,3527
2003-09-27,Calves,Veaux,Male,Male,30164
2003-09-27,Cattle,Bovins,Bulls,Taureaux,2722
2003-09-27,Cattle,Bovins,Cows,Vaches,22769
2003-09-27,Cattle,Bovins,Heifers,Genisses,80955
2003-09-27,Cattle,Bovins,Steers,Bouvillons,181404
2003-09-27,Hogs,Porcs,Hogs,Porcs,2108899
2003-09-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,45691
2003-10-25,Calves,Veaux,Female,Femelle,2605
2003-10-25,Calves,Veaux,Male,Male,25477
2003-10-25,Cattle,Bovins,Bulls,Taureaux,3123
2003-10-25,Cattle,Bovins,Cows,Vaches,25945
2003-10-25,Cattle,Bovins,Heifers,Genisses,72429
2003-10-25,Cattle,Bovins,Steers,Bouvillons,151593
2003-10-25,Hogs,Porcs,Hogs,Porcs,1753733
2003-10-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,43404
2003-11-22,Calves,Veaux,Female,Femelle,2870
2003-11-22,Calves,Veaux,Male,Male,25175
2003-11-22,Cattle,Bovins,Bulls,Taureaux,3337
2003-11-22,Cattle,Bovins,Cows,Vaches,28852
2003-11-22,Cattle,Bovins,Heifers,Genisses,92943
2003-11-22,Cattle,Bovins,Steers,Bouvillons,133053
2003-11-22,Hogs,Porcs,Hogs,Porcs,1830755
2003-11-22,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,40698
2003-12-27,Calves,Veaux,Female,Femelle,2779
2003-12-27,Calves,Veaux,Male,Male,26805
2003-12-27,Cattle,Bovins,Bulls,Taureaux,3109
2003-12-27,Cattle,Bovins,Cows,Vaches,35701
2003-12-27,Cattle,Bovins,Heifers,Genisses,128030
2003-12-27,Cattle,Bovins,Steers,Bouvillons,136018
2003-12-27,Hogs,Porcs,Hogs,Porcs,2081686
2003-12-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,56410
2004-01-24,Calves,Veaux,Female,Femelle,2413
2004-01-24,Calves,Veaux,Male,Male,23621
2004-01-24,Cattle,Bovins,Bulls,Taureaux,2133
2004-01-24,Cattle,Bovins,Cows,Vaches,30486
2004-01-24,Cattle,Bovins,Heifers,Genisses,104798
2004-01-24,Cattle,Bovins,Steers,Bouvillons,127705
2004-01-24,Hogs,Porcs,Hogs,Porcs,1740374
2004-01-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,33639
2004-02-21,Calves,Veaux,Female,Femelle,2672
2004-02-21,Calves,Veaux,Male,Male,25244
2004-02-21,Cattle,Bovins,Bulls,Taureaux,2885
2004-02-21,Cattle,Bovins,Cows,Vaches,39611
2004-02-21,Cattle,Bovins,Heifers,Genisses,117025
2004-02-21,Cattle,Bovins,Steers,Bouvillons,130340
2004-02-21,Hogs,Porcs,Hogs,Porcs,1749184
2004-02-21,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,38033
2004-03-27,Calves,Veaux,Female,Femelle,3430
2004-03-27,Calves,Veaux,Male,Male,34277
2004-03-27,Cattle,Bovins,Bulls,Taureaux,4516
2004-03-27,Cattle,Bovins,Cows,Vaches,47108
2004-03-27,Cattle,Bovins,Heifers,Genisses,167812
2004-03-27,Cattle,Bovins,Steers,Bouvillons,160172
2004-03-27,Hogs,Porcs,Hogs,Porcs,2203105
2004-03-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,48575
2004-04-24,Calves,Veaux,Female,Femelle,2638
2004-04-24,Calves,Veaux,Male,Male,26550
2004-04-24,Cattle,Bovins,Bulls,Taureaux,4263
2004-04-24,Cattle,Bovins,Cows,Vaches,36279
2004-04-24,Cattle,Bovins,Heifers,Genisses,118088
2004-04-24,Cattle,Bovins,Steers,Bouvillons,134308
2004-04-24,Hogs,Porcs,Hogs,Porcs,1694058
2004-04-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,57477
2004-05-22,Calves,Veaux,Female,Femelle,2093
2004-05-22,Calves,Veaux,Male,Male,26189
2004-05-22,Cattle,Bovins,Bulls,Taureaux,4864
2004-05-22,Cattle,Bovins,Cows,Vaches,32306
2004-05-22,Cattle,Bovins,Heifers,Genisses,105295
2004-05-22,Cattle,Bovins,Steers,Bouvillons,162991
2004-05-22,Hogs,Porcs,Hogs,Porcs,1664128
2004-05-22,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,42407
2004-06-26,Calves,Veaux,Female,Femelle,2212
2004-06-26,Calves,Veaux,Male,Male,30206
2004-06-26,Cattle,Bovins,Bulls,Taureaux,4947
2004-06-26,Cattle,Bovins,Cows,Vaches,39465
2004-06-26,Cattle,Bovins,Heifers,Genisses,107455
2004-06-26,Cattle,Bovins,Steers,Bouvillons,228647
2004-06-26,Hogs,Porcs,Hogs,Porcs,2051600
2004-06-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,47492
2004-07-24,Calves,Veaux,Female,Femelle,1972
2004-07-24,Calves,Veaux,Male,Male,24636
2004-07-24,Cattle,Bovins,Bulls,Taureaux,4563
2004-07-24,Cattle,Bovins,Cows,Vaches,32061
2004-07-24,Cattle,Bovins,Heifers,Genisses,89370
2004-07-24,Cattle,Bovins,Steers,Bouvillons,182797
2004-07-24,Hogs,Porcs,Hogs,Porcs,1685354
2004-07-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44948
2004-08-21,Calves,Veaux,Female,Femelle,1768
2004-08-21,Calves,Veaux,Male,Male,23413
2004-08-21,Cattle,Bovins,Bulls,Taureaux,4683
2004-08-21,Cattle,Bovins,Cows,Vaches,33583
2004-08-21,Cattle,Bovins,Heifers,Genisses,89070
2004-08-21,Cattle,Bovins,Steers,Bouvillons,175370
2004-08-21,Hogs,Porcs,Hogs,Porcs,1728033
2004-08-21,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44244
2004-09-25,Calves,Veaux,Female,Femelle,2083
2004-09-25,Calves,Veaux,Male,Male,29389
2004-09-25,Cattle,Bovins,Bulls,Taureaux,5898
2004-09-25,Cattle,Bovins,Cows,Vaches,42677
2004-09-25,Cattle,Bovins,Heifers,Genisses,117832
2004-09-25,Cattle,Bovins,Steers,Bouvillons,213560
2004-09-25,Hogs,Porcs,Hogs,Porcs,2188621
2004-09-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,46613
2004-10-23,Calves,Veaux,Female,Femelle,1733
2004-10-23,Calves,Veaux,Male,Male,24827
2004-10-23,Cattle,Bovins,Bulls,Taureaux,4205
2004-10-23,Cattle,Bovins,Cows,Vaches,35197
2004-10-23,Cattle,Bovins,Heifers,Genisses,109681
2004-10-23,Cattle,Bovins,Steers,Bouvillons,161984
2004-10-23,Hogs,Porcs,Hogs,Porcs,1766705
2004-10-23,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,45951
2004-11-20,Calves,Veaux,Female,Femelle,1905
2004-11-20,Calves,Veaux,Male,Male,25486
2004-11-20,Cattle,Bovins,Bulls,Taureaux,4893
2004-11-20,Cattle,Bovins,Cows,Vaches,42002
2004-11-20,Cattle,Bovins,Heifers,Genisses,115889
2004-11-20,Cattle,Bovins,Steers,Bouvillons,165950
2004-11-20,Hogs,Porcs,Hogs,Porcs,1795284
2004-11-20,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,45964
2005-01-01,Calves,Veaux,Female,Femelle,2227
2005-01-01,Calves,Veaux,Male,Male,31782
2005-01-01,Cattle,Bovins,Bulls,Taureaux,4973
2005-01-01,Cattle,Bovins,Cows,Vaches,58376
2005-01-01,Cattle,Bovins,Heifers,Genisses,159604
2005-01-01,Cattle,Bovins,Steers,Bouvillons,190088
2005-01-01,Hogs,Porcs,Hogs,Porcs,2451643
2005-01-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,59400
2005-01-29,Calves,Veaux,Female,Femelle,1562
2005-01-29,Calves,Veaux,Male,Male,24861
2005-01-29,Cattle,Bovins,Bulls,Taureaux,4620
2005-01-29,Cattle,Bovins,Cows,Vaches,48165
2005-01-29,Cattle,Bovins,Heifers,Genisses,106818
2005-01-29,Cattle,Bovins,Steers,Bouvillons,136864
2005-01-29,Hogs,Porcs,Hogs,Porcs,1853324
2005-01-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,46796
2005-02-26,Calves,Veaux,Female,Femelle,1528
2005-02-26,Calves,Veaux,Male,Male,24321
2005-02-26,Cattle,Bovins,Bulls,Taureaux,5002
2005-02-26,Cattle,Bovins,Cows,Vaches,45445
2005-02-26,Cattle,Bovins,Heifers,Genisses,101494
2005-02-26,Cattle,Bovins,Steers,Bouvillons,135839
2005-02-26,Hogs,Porcs,Hogs,Porcs,1796683
2005-02-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,34055
2005-04-02,Calves,Veaux,Female,Femelle,1878
2005-04-02,Calves,Veaux,Male,Male,30924
2005-04-02,Cattle,Bovins,Bulls,Taureaux,5802
2005-04-02,Cattle,Bovins,Cows,Vaches,51839
2005-04-02,Cattle,Bovins,Heifers,Genisses,164319
2005-04-02,Cattle,Bovins,Steers,Bouvillons,172206
2005-04-02,Hogs,Porcs,Hogs,Porcs,2149661
2005-04-02,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,59508
2005-04-30,Calves,Veaux,Female,Femelle,1581
2005-04-30,Calves,Veaux,Male,Male,26881
2005-04-30,Cattle,Bovins,Bulls,Taureaux,5977
2005-04-30,Cattle,Bovins,Cows,Vaches,45878
2005-04-30,Cattle,Bovins,Heifers,Genisses,124976
2005-04-30,Cattle,Bovins,Steers,Bouvillons,164913
2005-04-30,Hogs,Porcs,Hogs,Porcs,1760188
2005-04-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,53172
2005-05-28,Calves,Veaux,Female,Femelle,1606
2005-05-28,Calves,Veaux,Male,Male,26249
2005-05-28,Cattle,Bovins,Bulls,Taureaux,5125
2005-05-28,Cattle,Bovins,Cows,Vaches,42154
2005-05-28,Cattle,Bovins,Heifers,Genisses,112697
2005-05-28,Cattle,Bovins,Steers,Bouvillons,174984
2005-05-28,Hogs,Porcs,Hogs,Porcs,1628245
2005-05-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,45979
2005-07-02,Calves,Veaux,Female,Femelle,1933
2005-07-02,Calves,Veaux,Male,Male,30512
2005-07-02,Cattle,Bovins,Bulls,Taureaux,5852
2005-07-02,Cattle,Bovins,Cows,Vaches,51160
2005-07-02,Cattle,Bovins,Heifers,Genisses,106814
2005-07-02,Cattle,Bovins,Steers,Bouvillons,237132
2005-07-02,Hogs,Porcs,Hogs,Porcs,1998453
2005-07-02,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,50922
2005-07-30,Calves,Veaux,Female,Femelle,1619
2005-07-30,Calves,Veaux,Male,Male,24616
2005-07-30,Cattle,Bovins,Bulls,Taureaux,4575
2005-07-30,Cattle,Bovins,Cows,Vaches,37577
2005-07-30,Cattle,Bovins,Heifers,Genisses,82003
2005-07-30,Cattle,Bovins,Steers,Bouvillons,188432
2005-07-30,Hogs,Porcs,Hogs,Porcs,1667879
2005-07-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44508
2005-08-27,Calves,Veaux,Female,Femelle,1567
2005-08-27,Calves,Veaux,Male,Male,24564
2005-08-27,Cattle,Bovins,Bulls,Taureaux,5815
2005-08-27,Cattle,Bovins,Cows,Vaches,42337
2005-08-27,Cattle,Bovins,Heifers,Genisses,84198
2005-08-27,Cattle,Bovins,Steers,Bouvillons,170219
2005-08-27,Hogs,Porcs,Hogs,Porcs,1668943
2005-08-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,49895
2005-10-01,Calves,Veaux,Female,Femelle,1947
2005-10-01,Calves,Veaux,Male,Male,29090
2005-10-01,Cattle,Bovins,Bulls,Taureaux,9753
2005-10-01,Cattle,Bovins,Cows,Vaches,60226
2005-10-01,Cattle,Bovins,Heifers,Genisses,123529
2005-10-01,Cattle,Bovins,Steers,Bouvillons,191979
2005-10-01,Hogs,Porcs,Hogs,Porcs,2109410
2005-10-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,49853
2005-10-29,Calves,Veaux,Female,Femelle,1658
2005-10-29,Calves,Veaux,Male,Male,25114
2005-10-29,Cattle,Bovins,Bulls,Taureaux,7125
2005-10-29,Cattle,Bovins,Cows,Vaches,51918
2005-10-29,Cattle,Bovins,Heifers,Genisses,87753
2005-10-29,Cattle,Bovins,Steers,Bouvillons,109001
2005-10-29,Hogs,Porcs,Hogs,Porcs,1715032
2005-10-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44889
2005-11-26,Calves,Veaux,Female,Femelle,2407
2005-11-26,Calves,Veaux,Male,Male,25727
2005-11-26,Cattle,Bovins,Bulls,Taureaux,7514
2005-11-26,Cattle,Bovins,Cows,Vaches,63020
2005-11-26,Cattle,Bovins,Heifers,Genisses,98658
2005-11-26,Cattle,Bovins,Steers,Bouvillons,113677
2005-11-26,Hogs,Porcs,Hogs,Porcs,1783271
2005-11-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44311
2005-12-31,Calves,Veaux,Female,Femelle,2153
2005-12-31,Calves,Veaux,Male,Male,30450
2005-12-31,Cattle,Bovins,Bulls,Taureaux,7287
2005-12-31,Cattle,Bovins,Cows,Vaches,78679
2005-12-31,Cattle,Bovins,Heifers,Genisses,125354
2005-12-31,Cattle,Bovins,Steers,Bouvillons,124856
2005-12-31,Hogs,Porcs,Hogs,Porcs,2021547
2005-12-31,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,58234
2006-01-28,Calves,Veaux,Female,Femelle,1570
2006-01-28,Calves,Veaux,Male,Male,22319
2006-01-28,Cattle,Bovins,Bulls,Taureaux,4731
2006-01-28,Cattle,Bovins,Cows,Vaches,67612
2006-01-28,Cattle,Bovins,Heifers,Genisses,89374
2006-01-28,Cattle,Bovins,Steers,Bouvillons,103231
2006-01-28,Hogs,Porcs,Hogs,Porcs,1757401
2006-01-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44781
2006-02-25,Calves,Veaux,Female,Femelle,1460
2006-02-25,Calves,Veaux,Male,Male,22159
2006-02-25,Cattle,Bovins,Bulls,Taureaux,4186
2006-02-25,Cattle,Bovins,Cows,Vaches,64843
2006-02-25,Cattle,Bovins,Heifers,Genisses,100373
2006-02-25,Cattle,Bovins,Steers,Bouvillons,103486
2006-02-25,Hogs,Porcs,Hogs,Porcs,1722401
2006-02-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,30016
2006-04-01,Calves,Veaux,Female,Femelle,2050
2006-04-01,Calves,Veaux,Male,Male,28061
2006-04-01,Cattle,Bovins,Bulls,Taureaux,5491
2006-04-01,Cattle,Bovins,Cows,Vaches,78183
2006-04-01,Cattle,Bovins,Heifers,Genisses,134911
2006-04-01,Cattle,Bovins,Steers,Bouvillons,131215
2006-04-01,Hogs,Porcs,Hogs,Porcs,2157478
2006-04-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,41904
2006-04-29,Calves,Veaux,Female,Femelle,1471
2006-04-29,Calves,Veaux,Male,Male,23091
2006-04-29,Cattle,Bovins,Bulls,Taureaux,5101
2006-04-29,Cattle,Bovins,Cows,Vaches,58441
2006-04-29,Cattle,Bovins,Heifers,Genisses,89438
2006-04-29,Cattle,Bovins,Steers,Bouvillons,118921
2006-04-29,Hogs,Porcs,Hogs,Porcs,1621448
2006-04-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,64990
2006-05-27,Calves,Veaux,Female,Femelle,1743
2006-05-27,Calves,Veaux,Male,Male,23981
2006-05-27,Cattle,Bovins,Bulls,Taureaux,5180
2006-05-27,Cattle,Bovins,Cows,Vaches,52632
2006-05-27,Cattle,Bovins,Heifers,Genisses,87902
2006-05-27,Cattle,Bovins,Steers,Bouvillons,138758
2006-05-27,Hogs,Porcs,Hogs,Porcs,1595635
2006-05-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,42813
2006-07-01,Calves,Veaux,Female,Femelle,2159
2006-07-01,Calves,Veaux,Male,Male,27770
2006-07-01,Cattle,Bovins,Bulls,Taureaux,5818
2006-07-01,Cattle,Bovins,Cows,Vaches,63169
2006-07-01,Cattle,Bovins,Heifers,Genisses,106941
2006-07-01,Cattle,Bovins,Steers,Bouvillons,194550
2006-07-01,Hogs,Porcs,Hogs,Porcs,2001693
2006-07-01,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,44972
2006-07-29,Calves,Veaux,Female,Femelle,1393
2006-07-29,Calves,Veaux,Male,Male,22005
2006-07-29,Cattle,Bovins,Bulls,Taureaux,4268
2006-07-29,Cattle,Bovins,Cows,Vaches,41268
2006-07-29,Cattle,Bovins,Heifers,Genisses,62805
2006-07-29,Cattle,Bovins,Steers,Bouvillons,147314
2006-07-29,Hogs,Porcs,Hogs,Porcs,1672150
2006-07-29,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,40417
2006-08-26,Calves,Veaux,Female,Femelle,1579
2006-08-26,Calves,Veaux,Male,Male,22967
2006-08-26,Cattle,Bovins,Bulls,Taureaux,5312
2006-08-26,Cattle,Bovins,Cows,Vaches,41903
2006-08-26,Cattle,Bovins,Heifers,Genisses,71266
2006-08-26,Cattle,Bovins,Steers,Bouvillons,149311
2006-08-26,Hogs,Porcs,Hogs,Porcs,1638433
2006-08-26,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,45983
2006-09-30,Calves,Veaux,Female,Femelle,1882
2006-09-30,Calves,Veaux,Male,Male,26096
2006-09-30,Cattle,Bovins,Bulls,Taureaux,8378
2006-09-30,Cattle,Bovins,Cows,Vaches,59426
2006-09-30,Cattle,Bovins,Heifers,Genisses,99750
2006-09-30,Cattle,Bovins,Steers,Bouvillons,165915
2006-09-30,Hogs,Porcs,Hogs,Porcs,2081813
2006-09-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,46878
2006-10-28,Calves,Veaux,Female,Femelle,1872
2006-10-28,Calves,Veaux,Male,Male,23425
2006-10-28,Cattle,Bovins,Bulls,Taureaux,6980
2006-10-28,Cattle,Bovins,Cows,Vaches,55875
2006-10-28,Cattle,Bovins,Heifers,Genisses,86604
2006-10-28,Cattle,Bovins,Steers,Bouvillons,124456
2006-10-28,Hogs,Porcs,Hogs,Porcs,1680139
2006-10-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,43495
2006-11-25,Calves,Veaux,Female,Femelle,1962
2006-11-25,Calves,Veaux,Male,Male,24583
2006-11-25,Cattle,Bovins,Bulls,Taureaux,6276
2006-11-25,Cattle,Bovins,Cows,Vaches,69859
2006-11-25,Cattle,Bovins,Heifers,Genisses,99379
2006-11-25,Cattle,Bovins,Steers,Bouvillons,112753
2006-11-25,Hogs,Porcs,Hogs,Porcs,1749370
2006-11-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,39324
2006-12-30,Calves,Veaux,Female,Femelle,2163
2006-12-30,Calves,Veaux,Male,Male,28027
2006-12-30,Cattle,Bovins,Bulls,Taureaux,5244
2006-12-30,Cattle,Bovins,Cows,Vaches,81333
2006-12-30,Cattle,Bovins,Heifers,Genisses,101499
2006-12-30,Cattle,Bovins,Steers,Bouvillons,127344
2006-12-30,Hogs,Porcs,Hogs,Porcs,1954784
