lat,lon
43.193,-79.48236999999999
43.1938,-79.42086
43.194559999999996,-79.35935
43.19529,-79.29785
43.235409999999995,-79.66814000000001
43.236309999999996,-79.60659
43.23717,-79.54504
43.238,-79.48348
43.23879,-79.42194
43.23955,-79.36038
43.24028,-79.29883000000001
43.240970000000004,-79.23727
43.24163,-79.17572
43.24693,-77.57536
43.27947,-79.731
43.2804,-79.6694
43.2813,-79.6078
43.28215,-79.5462
43.28298,-79.4846
43.28378,-79.423
43.28454,-79.3614
43.28526,-79.2998
43.285959999999996,-79.2382
43.286609999999996,-79.17661
43.287240000000004,-79.11501
43.28783,-79.05341
43.28839,-78.99181
43.29213,-77.63664
43.291920000000005,-77.57504
43.29166,-77.51344
43.29138,-77.45185
43.291059999999995,-77.39025
43.29071,-77.32865
43.29033,-77.26705
43.28991,-77.20545
43.28945,-77.14385
43.288959999999996,-77.08225
43.28844,-77.02065999999999
43.287890000000004,-76.95906
43.324459999999995,-79.7323
43.325390000000006,-79.67065
43.32628,-79.60901
43.32714,-79.54736
43.32797,-79.48572
43.32877,-79.42408
43.32952,-79.36243
43.33025,-79.30079
43.330940000000005,-79.23914
43.3316,-79.1775
43.332229999999996,-79.11585
43.33282,-79.05421
43.33338,-78.99256
43.3339,-78.93092
43.33439,-78.86927
43.33485,-78.80762
43.337309999999995,-77.69801
43.33712,-77.63637
43.336909999999996,-77.57472
43.33665,-77.51308
43.33637,-77.45143
43.33605,-77.38979
43.3357,-77.32814
43.33531,-77.26649
43.33489,-77.20485
43.33444,-77.1432
43.33395,-77.08156
43.33343,-77.01991
43.332879999999996,-76.95827
43.33229,-76.89663
43.33167,-76.83498
43.33101,-76.77334
43.36945,-79.7336
43.37038,-79.67191
43.37127,-79.61022
43.37213,-79.54853
43.37296,-79.48684
43.37375,-79.42515
43.374520000000004,-79.36346
43.375240000000005,-79.30176999999999
43.37593,-79.24006999999999
43.37659,-79.17838
43.37722,-79.11669
43.37781,-79.055
43.378370000000004,-78.99331
43.378890000000006,-78.93162
43.37938,-78.86993000000001
43.37984,-78.80824
43.38026,-78.74654
43.38065,-78.68484000000001
43.381009999999996,-78.62315
43.38133,-78.56146
43.38162,-78.49977
43.38187,-78.43808
43.382090000000005,-78.37639
43.38228,-78.3147
43.38243,-78.25301
