Date,Sessions
5/16/2018,37348
5/15/2018,38963
5/14/2018,37228
5/13/2018,23245
5/12/2018,23570
5/11/2018,31823
5/10/2018,33783
5/9/2018,34970
5/8/2018,35039
5/7/2018,38603
5/6/2018,25674
5/5/2018,22743
5/4/2018,29346
5/3/2018,31705
5/2/2018,32014
5/1/2018,33341
4/30/2018,35207
4/29/2018,23754
4/28/2018,22451
4/27/2018,29384
4/26/2018,33327
4/25/2018,33105
4/24/2018,34256
4/23/2018,35322
4/22/2018,21257
4/21/2018,20696
4/20/2018,29578
4/19/2018,32497
4/18/2018,36602
4/17/2018,35694
4/16/2018,35340
4/15/2018,23740
4/14/2018,22545
4/13/2018,30383
4/12/2018,33846
4/11/2018,35899
4/10/2018,36238
4/9/2018,35409
4/8/2018,20382
4/7/2018,21059
4/6/2018,29332
4/5/2018,33259
4/4/2018,37567
4/3/2018,35883
4/2/2018,37188
4/1/2018,20412
3/31/2018,22071
3/30/2018,29944
3/29/2018,34256
3/28/2018,34692
3/27/2018,35471
3/26/2018,36719
3/25/2018,24352
3/24/2018,23152
3/23/2018,31244
3/22/2018,37219
3/21/2018,39855
3/20/2018,40584
3/19/2018,43840
3/18/2018,26641
3/17/2018,24612
3/16/2018,29823
3/15/2018,32628
3/14/2018,34367
3/13/2018,35048
3/12/2018,38253
3/11/2018,23608
3/10/2018,24664
3/9/2018,33627
3/8/2018,42547
3/7/2018,34173
3/6/2018,36745
3/5/2018,36515
3/4/2018,23720
3/3/2018,23141
3/2/2018,30608
3/1/2018,34280
2/28/2018,33696
2/27/2018,34762
2/26/2018,34654
2/25/2018,22863
2/24/2018,22236
2/23/2018,28616
2/22/2018,31009
2/21/2018,32600
2/20/2018,34737
2/19/2018,30423
2/18/2018,21483
2/17/2018,20649
2/16/2018,27988
2/15/2018,31294
2/14/2018,27641
2/13/2018,31157
2/12/2018,34745
2/11/2018,21275
2/10/2018,21744
2/9/2018,28609
2/8/2018,32499
2/7/2018,31846
2/6/2018,31876
2/5/2018,37967
2/4/2018,21882
2/3/2018,23114
2/2/2018,32292
2/1/2018,37169
1/31/2018,36552
1/30/2018,37176
1/29/2018,38545
1/28/2018,24475
1/27/2018,22799
1/26/2018,31871
1/25/2018,35334
1/24/2018,36255
1/23/2018,37184
1/22/2018,37147
1/21/2018,23673
1/20/2018,23121
1/19/2018,33031
1/18/2018,36995
1/17/2018,40551
1/16/2018,49730
1/15/2018,42668
1/14/2018,24554
1/13/2018,22118
1/12/2018,32003
1/11/2018,34896
1/10/2018,36394
1/9/2018,36703
1/8/2018,39058
1/7/2018,24561
1/6/2018,24285
1/5/2018,34007
1/4/2018,38253
1/3/2018,40279
1/2/2018,43113
1/1/2018,28364
12/31/2017,26219
12/30/2017,23816
12/29/2017,29804
12/28/2017,33822
12/27/2017,35037
12/26/2017,29258
12/25/2017,17365
12/24/2017,15218
12/23/2017,17000
12/22/2017,24061
12/21/2017,28712
12/20/2017,30782
12/19/2017,31900
12/18/2017,33863
12/17/2017,19606
12/16/2017,18014
12/15/2017,27166
12/14/2017,32016
12/13/2017,35121
12/12/2017,32833
12/11/2017,33298
12/10/2017,20487
12/9/2017,19343
12/8/2017,30382
12/7/2017,36474
12/6/2017,31212
12/5/2017,32721
12/4/2017,35257
12/3/2017,21828
12/2/2017,21390
12/1/2017,29782
11/30/2017,34130
